TIC,Outbst,Flare,tpeak,e_tpeak,E_tpeak,Amp,e_Amp,E_Amp,FWHMdt,e_FWHMdt,E_FWHMdt,Ebol,e_Ebol,E_Ebol,MCME,e_MCME,E_MCME
5656273,20,1,2458377.982285,0.000720,0.000792,0.00421,0.00077,0.00082,0.00697,0.00271,0.00484,4.1e+32,1.9e+32,2.2e+32,3.9e+19,3.7e+19,6.5e+20
5656273,21,1,2458378.963363,0.000413,0.000357,0.00750,0.00211,0.00362,0.00213,0.00097,0.00170,2.7e+32,7.1e+31,1.2e+32,4.1e+19,3.9e+19,4e+20
5656273,22,1,2458379.616029,0.000093,0.000111,0.01458,0.00130,0.00161,0.00271,0.00058,0.00061,5.8e+32,7.7e+31,9.6e+31,7.2e+19,6.7e+19,2e+21
5656273,23,1,2458380.816763,0.000357,0.000353,0.01319,0.00075,0.00074,0.01273,0.00121,0.00140,2.7e+33,3.1e+32,3.5e+32,1.7e+20,1.6e+20,2.3e+21
5656273,24,1,2458381.027519,0.000086,0.000088,0.02580,0.00162,0.00170,0.00199,0.00027,0.00028,7.9e+32,7.9e+31,9.4e+31,9.5e+19,8.6e+19,2.2e+21
5676537,1,1,2458354.436838,0.000345,0.000339,0.00681,0.00077,0.00081,0.00588,0.00096,0.00122,1.7e+33,2.5e+32,2.6e+32,1.5e+20,1.4e+20,3e+21
5676537,3,1,2458360.219406,0.000310,0.000340,0.00616,0.00062,0.00067,0.00761,0.00140,0.00171,2.2e+33,2.8e+32,3.2e+32,1.8e+20,1.7e+20,6.8e+21
5676537,4,1,2458362.083897,0.000205,0.000201,0.00605,0.00187,0.00332,0.00163,0.00078,0.00142,4.7e+32,1.2e+32,2.3e+32,7.4e+19,6.7e+19,1.5e+21
5676537,4,2,2458362.116165,0.001396,0.001497,0.00562,0.00041,0.00037,0.07541,0.00822,0.00503,1e+34,1e+33,7.1e+32,1.7e+20,1.5e+20,4.1e+21
5676537,5,1,2458363.398026,0.000523,0.000577,0.00493,0.00056,0.00059,0.00875,0.00164,0.00205,1.8e+33,2.4e+32,2.5e+32,1.6e+20,1.5e+20,3.1e+21
5676537,6,1,2458363.780987,0.000603,0.000658,0.00452,0.00065,0.00073,0.01112,0.00316,0.00373,2.1e+33,3.6e+32,3.4e+32,1.4e+20,1.3e+20,2.8e+21
5676537,7,1,2458365.996972,0.000676,0.000824,0.00489,0.00086,0.00095,0.00880,0.00251,0.00327,1.9e+33,4.7e+32,9.6e+32,1.4e+20,1.3e+20,1.5e+21
5676537,8,1,2458371.496600,0.000517,0.000818,0.00403,0.00064,0.00074,0.00833,0.00276,0.00353,1.4e+33,3.4e+32,3.5e+32,1.3e+20,1.3e+20,2.2e+21
5676537,8,2,2458371.511700,0.000279,0.000288,0.00528,0.00110,0.00149,0.00329,0.00126,0.00204,7.9e+32,2.3e+32,2.5e+32,8.9e+19,8.7e+19,1.1e+21
5676537,9,1,2458371.792388,0.000296,0.000376,0.00554,0.00070,0.00076,0.00516,0.00108,0.00135,1.2e+33,2.1e+32,2.4e+32,1.1e+20,1e+20,9.4e+20
5676537,10,1,2458379.445581,0.000399,0.000415,0.00748,0.00044,0.00046,0.01359,0.00137,0.00162,4e+33,3.4e+32,3.3e+32,2.5e+20,2.3e+20,7.1e+21
5676537,11,1,2458379.878187,0.000157,0.000160,0.01035,0.00077,0.00081,0.00446,0.00056,0.00064,2.4e+33,2.4e+32,2.4e+32,1.6e+20,1.5e+20,3.3e+21
5676537,12,1,2458380.181083,0.000388,0.000392,0.01052,0.00051,0.00049,0.01934,0.00192,0.00207,9e+33,6.4e+32,4.7e+32,4.6e+20,4.2e+20,1.4e+22
5725904,1,1,2458356.693794,0.000166,0.000217,0.14324,0.02157,0.02507,0.00266,0.00059,0.00072,3.5e+32,4.9e+31,6.7e+31,6.1e+19,5.7e+19,1.8e+21
5725904,2,1,2458365.060127,0.000028,0.000028,1.19549,0.03848,0.04289,0.00198,0.00011,0.00011,2e+33,8e+31,6e+31,1.7e+20,1.6e+20,4.6e+21
5727213,1,1,2458355.427876,0.000131,0.000101,0.06434,0.01180,0.01865,0.00105,0.00032,0.00040,,,,,,
5727213,2,1,2458355.858246,0.001747,0.002653,0.01049,0.00167,0.00277,0.01205,0.00757,0.00924,,,,,,
5727213,3,1,2458356.128200,0.000707,0.000710,0.01127,0.00147,0.00171,0.01326,0.00324,0.00390,,,,,,
5727213,4,1,2458356.603750,0.000070,0.000076,0.06244,0.00277,0.00301,0.00330,0.00025,0.00026,,,,,,
5727213,5,1,2458356.828426,0.000085,0.000098,0.18370,0.01025,0.00914,0.00794,0.00055,0.00052,,,,,,
5727213,5,2,2458356.825186,0.000115,0.000105,0.09797,0.00838,0.00945,0.00229,0.00055,0.00050,,,,,,
5727213,6,1,2458356.983437,0.000284,0.000295,0.01883,0.00156,0.00165,0.00713,0.00120,0.00133,,,,,,
5727213,7,1,2458357.160278,0.000150,0.000240,0.02753,0.00500,0.01185,0.00230,0.00130,0.00144,,,,,,
5727213,7,2,2458357.166704,0.000804,0.001019,0.01821,0.00289,0.00301,0.01526,0.00284,0.00316,,,,,,
5727213,8,1,2458359.118143,0.000267,0.000258,0.01785,0.00389,0.00479,0.00226,0.00079,0.00121,,,,,,
5727213,8,2,2458359.156782,0.002030,0.002085,0.01173,0.00131,0.00126,0.03219,0.00795,0.01085,,,,,,
5727213,10,1,2458360.732776,0.000394,0.000596,0.01743,0.00204,0.00217,0.00654,0.00150,0.00187,,,,,,
5727213,10,2,2458360.815652,0.000544,0.000440,0.01101,0.00242,0.00309,0.00511,0.00232,0.00315,,,,,,
5727213,11,1,2458364.204876,0.000255,0.000312,0.02507,0.00202,0.00211,0.00717,0.00176,0.00241,,,,,,
5727213,12,1,2458364.977272,0.000062,0.000056,1.31645,0.04208,0.04869,0.00364,0.00011,0.00010,,,,,,
5727213,12,2,2458364.979599,0.000022,0.000020,0.52422,0.01493,0.01625,0.00315,0.00020,0.00018,,,,,,
5727213,12,3,2458364.975668,0.000036,0.000018,0.90031,0.18848,0.19485,0.00054,0.00007,0.00011,,,,,,
5727213,13,1,2458372.923219,0.000269,0.000315,0.03477,0.00339,0.00337,0.00791,0.00148,0.00166,,,,,,
5727213,13,2,2458372.912958,0.000293,0.000280,0.03052,0.00335,0.00334,0.00693,0.00146,0.00156,,,,,,
5727213,13,3,2458373.047200,0.000086,0.000079,0.07294,0.00541,0.00731,0.00150,0.00031,0.00030,,,,,,
5727213,14,1,2458373.047237,0.000084,0.000081,0.07014,0.00528,0.00613,0.00175,0.00032,0.00033,,,,,,
5727213,14,2,2458373.080076,0.000383,0.000573,0.01462,0.00335,0.00399,0.00356,0.00142,0.00183,,,,,,
5727213,15,1,2458373.879997,0.000062,0.000070,0.14036,0.01128,0.00834,0.00477,0.00028,0.00031,,,,,,
5727213,15,2,2458373.890413,0.000612,0.000688,0.03637,0.00696,0.00612,0.03149,0.01098,0.00785,,,,,,
5727213,15,3,2458373.884041,0.000124,0.000137,0.06696,0.00569,0.00718,0.00684,0.00171,0.00229,,,,,,
5727213,15,4,2458373.811233,0.000226,0.000223,0.04100,0.00234,0.00233,0.00826,0.00103,0.00110,,,,,,
5727213,17,1,2458377.941415,0.000754,0.000800,0.01762,0.00120,0.00118,0.02480,0.00400,0.00458,,,,,,
5796048,1,1,2458358.964708,0.000154,0.000167,0.04898,0.00324,0.00338,0.00535,0.00065,0.00071,3e+33,2.9e+32,3.5e+32,1.8e+20,1.7e+20,2.1e+21
5796048,2,1,2458360.789182,0.000214,0.000219,0.03487,0.00948,0.01925,0.00230,0.00115,0.00189,8.9e+32,2.8e+32,3.2e+32,1e+20,9.2e+19,2.4e+21
5796048,3,1,2458363.299122,0.000129,0.000113,0.03904,0.00712,0.01224,0.00181,0.00067,0.00076,7e+32,1.3e+32,2e+32,7.8e+19,7.2e+19,2.8e+21
5796048,4,1,2458364.202410,0.000594,0.000509,0.27385,0.04368,0.04815,0.01907,0.00402,0.00547,5.6e+34,1.6e+34,1.6e+34,1.1e+21,1.1e+21,3.3e+22
5796048,4,2,2458364.242340,0.000053,0.000051,0.32315,0.01572,0.01328,0.00499,0.00055,0.00064,1.8e+34,2.2e+33,3.1e+33,4.5e+20,4.3e+20,1.2e+22
5796048,4,3,2458364.238564,0.000208,0.000328,0.15257,0.01525,0.01428,0.00484,0.00085,0.00128,1e+34,1.9e+33,4.5e+33,2.9e+20,2.8e+20,8.9e+21
5796048,5,1,2458369.654449,0.000012,0.000012,0.80808,0.01553,0.01911,0.00164,0.00007,0.00005,1.5e+34,3.3e+32,2.7e+32,6.8e+20,6.4e+20,2.3e+22
5796048,6,1,2458369.951944,0.000463,0.000548,0.01990,0.00300,0.00313,0.00728,0.00199,0.00244,1.6e+33,4e+32,5.3e+32,1.5e+20,1.4e+20,1.1e+21
5796048,7,1,2458370.422689,0.000308,0.000306,0.02256,0.00348,0.00399,0.00421,0.00128,0.00153,1.2e+33,3.1e+32,3.6e+32,9.8e+19,9.4e+19,2.1e+21
5796048,8,1,2458370.793612,0.000511,0.000518,0.01861,0.00289,0.00312,0.00602,0.00154,0.00221,1.2e+33,2.6e+32,4e+32,1.1e+20,9.9e+19,1e+21
5796048,9,1,2458370.922301,0.000066,0.000064,0.13734,0.00494,0.00508,0.00257,0.00018,0.00020,3.7e+33,1.9e+32,2e+32,2.1e+20,2e+20,2.1e+21
5796048,10,1,2458373.463543,0.000214,0.000279,0.04686,0.00376,0.00394,0.00452,0.00091,0.00097,2e+33,3.5e+32,4e+32,1.7e+20,1.6e+20,2.9e+21
5796048,10,2,2458373.469156,0.000255,0.000274,0.03127,0.00377,0.00365,0.00562,0.00136,0.00176,1.8e+33,4.6e+32,5.9e+32,1.5e+20,1.5e+20,1.7e+21
5796048,11,1,2458376.327039,0.000261,0.000317,0.02261,0.00404,0.00546,0.00359,0.00135,0.00175,9.5e+32,2.5e+32,3.5e+32,9.5e+19,8.7e+19,3e+21
5796048,14,1,2458378.504707,0.000125,0.000145,0.04068,0.00535,0.00702,0.00258,0.00070,0.00076,1.2e+33,2.5e+32,2.6e+32,8.7e+19,8.4e+19,1.8e+21
5796048,15,1,2458379.662672,0.000071,0.000066,0.10757,0.00570,0.00641,0.00237,0.00025,0.00026,2.5e+33,1.9e+32,1.8e+32,1.6e+20,1.5e+20,2.1e+21
5796211,1,1,2458377.037952,0.000172,0.000154,0.08718,0.00916,0.00836,0.00408,0.00059,0.00058,,,,,,
5796211,1,2,2458377.041352,0.000398,0.000438,0.05023,0.00806,0.00890,0.00912,0.00090,0.00101,,,,,,
7151484,1,1,2458355.668618,0.000314,0.000408,0.01369,0.00118,0.00125,0.00726,0.00156,0.00178,4.9e+32,9e+31,1.4e+32,7.3e+19,6.7e+19,5.8e+20
7151484,1,2,2458355.736640,0.000433,0.000626,0.00722,0.00097,0.00101,0.00589,0.00117,0.00168,2.1e+32,3.3e+31,3.8e+31,1.4e+19,1.2e+19,2.3e+20
7151484,1,3,2458355.682112,0.001307,0.001354,0.00613,0.00080,0.00080,0.03450,0.00687,0.00550,7.7e+32,1.8e+32,8.5e+31,4e+19,3.8e+19,8e+20
7151484,2,1,2458356.346170,0.000092,0.000083,0.01930,0.00131,0.00155,0.00271,0.00034,0.00033,2.5e+32,1.3e+31,2.6e+31,4.4e+19,4.2e+19,1e+21
